Mo,W,S,Se,Te,bandgap
10.0,15.0,0.0,20.0,30.0,1.1642
10.0,15.0,0.0,25.0,25.0,1.2180
10.0,15.0,0.0,30.0,20.0,1.2615
10.0,15.0,0.0,35.0,15.0,1.3142
10.0,15.0,0.0,40.0,10.0,1.3667
10.0,15.0,0.0,45.0,5.0,1.4146
15.0,10.0,0.0,5.0,45.0,1.0884
15.0,10.0,0.0,10.0,40.0,1.1131
15.0,10.0,0.0,15.0,35.0,1.1329
15.0,10.0,0.0,20.0,30.0,1.1697
15.0,10.0,0.0,25.0,25.0,1.2118
15.0,10.0,0.0,30.0,20.0,1.2541
15.0,10.0,0.0,35.0,15.0,1.2926
15.0,10.0,0.0,40.0,10.0,1.3473
15.0,10.0,0.0,45.0,5.0,1.4032
20.0,5.0,0.0,5.0,45.0,1.0931
20.0,5.0,0.0,10.0,40.0,1.1123
20.0,5.0,0.0,15.0,35.0,1.1374
20.0,5.0,0.0,20.0,30.0,1.1671
20.0,5.0,0.0,25.0,25.0,1.2005
20.0,5.0,0.0,30.0,20.0,1.2519
20.0,5.0,0.0,35.0,15.0,1.2934
20.0,5.0,0.0,40.0,10.0,1.3467
20.0,5.0,0.0,45.0,5.0,1.3901
5.0,20.0,5.0,5.0,40.0,1.114
5.0,20.0,5.0,10.0,35.0,1.1316
5.0,20.0,5.0,15.0,30.0,1.1917
5.0,20.0,5.0,20.0,25.0,1.2144
5.0,20.0,5.0,25.0,20.0,1.2692
5.0,20.0,5.0,30.0,15.0,1.3238
5.0,20.0,5.0,35.0,10.0,1.3845
5.0,20.0,5.0,40.0,5.0,1.4521
5.0,20.0,10.0,5.0,35.0,1.1393
5.0,20.0,10.0,10.0,30.0,1.185
5.0,20.0,10.0,15.0,25.0,1.237
5.0,20.0,10.0,20.0,20.0,1.2637
5.0,20.0,10.0,25.0,15.0,1.347
5.0,20.0,10.0,30.0,10.0,1.4045
5.0,20.0,10.0,35.0,5.0,1.4675
5.0,20.0,15.0,5.0,30.0,1.1866
5.0,20.0,15.0,10.0,25.0,1.2293
5.0,20.0,15.0,15.0,20.0,1.2619
5.0,20.0,15.0,20.0,15.0,1.3476
5.0,20.0,15.0,25.0,10.0,1.4078
5.0,20.0,15.0,30.0,5.0,1.4792
5.0,20.0,20.0,5.0,25.0,1.2459
5.0,20.0,20.0,10.0,20.0,1.2968
5.0,20.0,20.0,15.0,15.0,1.3612
5.0,20.0,20.0,20.0,10.0,1.4279
5.0,20.0,20.0,25.0,5.0,1.5083
5.0,20.0,25.0,5.0,20.0,1.2842
5.0,20.0,25.0,10.0,15.0,1.381
5.0,20.0,25.0,15.0,10.0,1.4439
5.0,20.0,25.0,20.0,5.0,1.5124
5.0,20.0,30.0,5.0,15.0,1.3829
5.0,20.0,30.0,10.0,10.0,1.4726
5.0,20.0,30.0,15.0,5.0,1.5484
5.0,20.0,35.0,5.0,10.0,1.4683
5.0,20.0,35.0,10.0,5.0,1.5783
5.0,20.0,40.0,5.0,5.0,1.6
10.0,15.0,5.0,5.0,40.0,1.1032
10.0,15.0,5.0,10.0,35.0,1.126
10.0,15.0,5.0,15.0,30.0,1.1689
10.0,15.0,5.0,20.0,25.0,1.2132
10.0,15.0,5.0,25.0,20.0,1.2598
10.0,15.0,5.0,30.0,15.0,1.3156
10.0,15.0,5.0,35.0,10.0,1.3634
10.0,15.0,5.0,40.0,5.0,1.4326
10.0,15.0,10.0,5.0,35.0,1.1354
10.0,15.0,10.0,10.0,30.0,1.1681
10.0,15.0,10.0,15.0,25.0,1.2147
10.0,15.0,10.0,20.0,20.0,1.2774
10.0,15.0,10.0,25.0,15.0,1.3189
10.0,15.0,10.0,30.0,10.0,1.3877
10.0,15.0,10.0,35.0,5.0,1.4429
10.0,15.0,15.0,5.0,30.0,1.1686
10.0,15.0,15.0,10.0,25.0,1.2074
10.0,15.0,15.0,15.0,20.0,1.2443
10.0,15.0,15.0,20.0,15.0,1.3306
10.0,15.0,15.0,25.0,10.0,1.3833
10.0,15.0,15.0,30.0,5.0,1.4556
10.0,15.0,20.0,5.0,25.0,1.2302
10.0,15.0,20.0,10.0,20.0,1.2878
10.0,15.0,20.0,15.0,15.0,1.3435
10.0,15.0,20.0,20.0,10.0,1.4105
10.0,15.0,20.0,25.0,5.0,1.4686
10.0,15.0,25.0,5.0,20.0,1.3059
10.0,15.0,25.0,10.0,15.0,1.3616
10.0,15.0,25.0,15.0,10.0,1.4026
10.0,15.0,25.0,20.0,5.0,1.4967
10.0,15.0,30.0,5.0,15.0,1.3664
10.0,15.0,30.0,10.0,10.0,1.4328
10.0,15.0,30.0,15.0,5.0,1.5182
10.0,15.0,35.0,5.0,10.0,1.4573
10.0,15.0,35.0,10.0,5.0,1.5561
10.0,15.0,40.0,5.0,5.0,1.5684
15.0,10.0,5.0,5.0,40.0,1.0866
15.0,10.0,5.0,10.0,35.0,1.1208
15.0,10.0,5.0,15.0,30.0,1.1786
15.0,10.0,5.0,20.0,25.0,1.2163
15.0,10.0,5.0,25.0,20.0,1.2661
15.0,10.0,5.0,30.0,15.0,1.3094
15.0,10.0,5.0,35.0,10.0,1.3465
15.0,10.0,5.0,40.0,5.0,1.4230
15.0,10.0,10.0,5.0,35.0,1.1306
15.0,10.0,10.0,10.0,30.0,1.1801
15.0,10.0,10.0,15.0,25.0,1.2198
15.0,10.0,10.0,20.0,20.0,1.2537
15.0,10.0,10.0,25.0,15.0,1.3112
15.0,10.0,10.0,30.0,10.0,1.3534
15.0,10.0,10.0,35.0,5.0,1.4333
15.0,10.0,15.0,5.0,30.0,1.1673
15.0,10.0,15.0,10.0,25.0,1.2267
15.0,10.0,15.0,15.0,20.0,1.2621
15.0,10.0,15.0,20.0,15.0,1.3184
15.0,10.0,15.0,25.0,10.0,1.3806
15.0,10.0,15.0,30.0,5.0,1.4316
15.0,10.0,20.0,5.0,25.0,1.2128
15.0,10.0,20.0,10.0,20.0,1.2865
15.0,10.0,20.0,15.0,15.0,1.3402
15.0,10.0,20.0,20.0,10.0,1.4009
15.0,10.0,20.0,25.0,5.0,1.4672
15.0,10.0,25.0,5.0,20.0,1.2815
15.0,10.0,25.0,10.0,15.0,1.3500
15.0,10.0,25.0,15.0,10.0,1.3912
15.0,10.0,25.0,20.0,5.0,1.4852
15.0,10.0,30.0,5.0,15.0,1.3629
15.0,10.0,30.0,10.0,10.0,1.4147
15.0,10.0,30.0,15.0,5.0,1.5020
15.0,10.0,35.0,5.0,10.0,1.4443
15.0,10.0,35.0,10.0,5.0,1.5125
15.0,10.0,40.0,5.0,5.0,1.5413
20.0,5.0,5.0,5.0,40.0,1.0988
20.0,5.0,5.0,10.0,35.0,1.1311
20.0,5.0,5.0,15.0,30.0,1.1640
20.0,5.0,5.0,20.0,25.0,1.2040
20.0,5.0,5.0,25.0,20.0,1.2527
20.0,5.0,5.0,30.0,15.0,1.3024
20.0,5.0,5.0,35.0,10.0,1.3462
20.0,5.0,5.0,40.0,5.0,1.4014
20.0,5.0,10.0,5.0,35.0,1.1306
20.0,5.0,10.0,10.0,30.0,1.1695
20.0,5.0,10.0,15.0,25.0,1.2105
20.0,5.0,10.0,20.0,20.0,1.2771
20.0,5.0,10.0,25.0,15.0,1.3120
20.0,5.0,10.0,30.0,10.0,1.3612
20.0,5.0,10.0,35.0,5.0,1.4209
20.0,5.0,15.0,5.0,30.0,1.1592
20.0,5.0,15.0,10.0,25.0,1.2119
20.0,5.0,15.0,15.0,20.0,1.2763
20.0,5.0,15.0,20.0,15.0,1.3162
20.0,5.0,15.0,25.0,10.0,1.3553
20.0,5.0,15.0,30.0,5.0,1.4283
20.0,5.0,20.0,5.0,25.0,1.2143
20.0,5.0,20.0,10.0,20.0,1.2708
